,economy
79,AFE
80,AFE
81,AFE
82,AFE
83,AFE
84,AFE
85,AFE
86,AFE
87,AFE
88,AFE
89,AFE
90,AFE
91,AFE
92,AFE
93,AFE
94,AFE
95,AFE
96,AFE
97,AFE
131,AFG
132,AFG
133,AFG
134,AFG
135,AFG
136,AFG
137,AFG
138,AFG
139,AFG
140,AFG
141,AFG
142,AFG
143,AFG
144,AFG
145,AFG
146,AFG
147,AFG
179,AFW
180,AFW
181,AFW
182,AFW
183,AFW
184,AFW
185,AFW
186,AFW
187,AFW
188,AFW
189,AFW
190,AFW
191,AFW
192,AFW
193,AFW
194,AFW
195,AFW
196,AFW
197,AFW
229,AGO
230,AGO
231,AGO
232,AGO
233,AGO
234,AGO
235,AGO
236,AGO
237,AGO
238,AGO
239,AGO
240,AGO
241,AGO
242,AGO
243,AGO
244,AGO
245,AGO
246,AGO
247,AGO
279,ALB
280,ALB
281,ALB
282,ALB
283,ALB
284,ALB
285,ALB
286,ALB
287,ALB
288,ALB
289,ALB
290,ALB
291,ALB
292,ALB
293,ALB
294,ALB
295,ALB
296,ALB
297,ALB
329,AND
330,AND
331,AND
332,AND
333,AND
334,AND
335,AND
336,AND
337,AND
338,AND
339,AND
340,AND
341,AND
342,AND
343,AND
344,AND
345,AND
346,AND
347,AND
379,ARB
380,ARB
381,ARB
382,ARB
383,ARB
384,ARB
385,ARB
386,ARB
387,ARB
388,ARB
389,ARB
390,ARB
391,ARB
392,ARB
393,ARB
394,ARB
395,ARB
396,ARB
397,ARB
429,ARE
430,ARE
431,ARE
432,ARE
433,ARE
434,ARE
435,ARE
436,ARE
437,ARE
438,ARE
439,ARE
440,ARE
441,ARE
442,ARE
443,ARE
444,ARE
445,ARE
446,ARE
447,ARE
479,ARG
480,ARG
481,ARG
482,ARG
483,ARG
484,ARG
485,ARG
486,ARG
487,ARG
488,ARG
489,ARG
490,ARG
491,ARG
492,ARG
493,ARG
494,ARG
495,ARG
496,ARG
497,ARG
529,ARM
530,ARM
531,ARM
532,ARM
533,ARM
534,ARM
535,ARM
536,ARM
537,ARM
538,ARM
539,ARM
540,ARM
541,ARM
542,ARM
543,ARM
544,ARM
545,ARM
546,ARM
547,ARM
629,ATG
630,ATG
631,ATG
632,ATG
633,ATG
634,ATG
635,ATG
636,ATG
637,ATG
638,ATG
639,ATG
640,ATG
641,ATG
642,ATG
643,ATG
644,ATG
