economy,time,Renewable energy consumption,Fossil fuel energy consumption,CO2 intensity,CO2 emissions (metric tons per capita),Other greenhouse gas emissions,HFC gas emissions,Methane emissions,Nitrous oxide emissions,PFC gas emissions,SF6 gas emissions,"Droughts, floods, extreme temperatures",Natural gas rents (% of GDP),GDP per capita (current US$),Mortality rate due to AP,Poverty gap at $3.20 a day,Multidimensional poverty headcount ratio
ABW,YR1970,,,,,19.6679007572651,,10.2469,1.8261976,,,,,,,,
ABW,YR1971,,,,,19.9573639208317,,10.4531,1.8269478,,,,,,,,
ABW,YR1972,,,,,20.0057701091051,,10.657,1.8448131,,,,,,,,
ABW,YR1973,,,,,19.7166851036787,,10.8551,1.8220901,,,,,,,,
ABW,YR1974,,,,,18.9261850746155,,11.0415,1.821157,,,,,,,,
ABW,YR1975,,,,,15.4293338317513,,11.2194,1.8296076,,,,,,,,
ABW,YR1976,,,,,30.5132694075108,,11.5069,2.6258457,,,,,,,,
ABW,YR1977,,,,,36.4009040830135,,11.6718,2.7775194,,,,,,,,
ABW,YR1978,,,,,95.208587667227,,12.2338,5.303201,,,,,,,,
ABW,YR1979,,,,,121.030567683697,,12.4857,6.067785,,,,,,,,
ABW,YR1980,,,,,114.675152129412,,12.6755,6.170271,,,,,,,,
ABW,YR1981,,,,,191.589041749954,,12.937,7.047013,,,,,,,,
ABW,YR1982,,,,,204.145519427776,,13.182,7.624574,,,,,,,,
ABW,YR1983,,,,,239.228604783297,,13.3622,7.290487,,,,,,,,
ABW,YR1984,,,,,246.726780365467,,13.6488,7.828492,,,,,,,,
ABW,YR1985,,,,,219.772691755295,,13.9676,8.650364,,,,,,,,
ABW,YR1986,,,,2.86827360523585,127.878601610184,,13.8472,6.47466,,,,0.0,6472.39870887477,,,
ABW,YR1987,,,,7.2346130211197,143.941114486933,,14.3017,8.943996,,,,0.0,7885.15892730063,,,
ABW,YR1988,,,,10.0273283992664,,,14.5499,11.000443,,,,0.0,9765.90920740626,,,
ABW,YR1989,,,,10.6345583536775,,,14.8981,11.871481,,,,0.0,11392.2691499861,,,
ABW,YR1990,0.268747068990415,,,,,,,,,,,0.0,12306.7176791493,,,
ABW,YR1991,0.234954767660835,,,,,,,,,,,0.0,13495.79430054,,,
ABW,YR1992,0.238777584499868,,,,,,,,,,,0.0,14045.4745656146,,,
ABW,YR1993,0.195134319425155,,,,,,,,,,,0.0,14938.6815734932,,,
ABW,YR1994,0.183240539866902,,,,,,,,,,,0.0,16239.9878515928,,,
ABW,YR1995,0.173371733273026,,,,,,,,,,,0.0,16439.3563609282,,,
ABW,YR1996,0.167474284591361,,,,,,,,,,,0.0,16583.8758560136,,,
ABW,YR1997,0.160095867335473,,,,,,,,,,,0.0,17927.9594391833,,,
ABW,YR1998,0.15787569080815,,,,,,,,,,,0.0,19077.6874273513,,,
ABW,YR1999,0.160927638084104,,,,,,,,,,,0.0,19355.3335357274,,,
ABW,YR2000,0.175300002098083,,,,,,,,,,,0.0,20617.7504673528,,,
ABW,YR2001,0.180500000715256,,,,,,,,,,,0.0,20670.3670051627,,,
ABW,YR2002,0.181400001049042,,,,,,,,,,,0.0,20436.8871286309,,,
ABW,YR2003,0.184599995613098,,,,,,,,,,,0.0,20833.976357295,,,
ABW,YR2004,0.187099993228912,,,,,,,,,,,0.0,22568.3749910043,,,
ABW,YR2005,0.186599999666214,,,,,,,,,,,0.0,23300.7383630907,,,
ABW,YR2006,0.189899995923042,,,,,,,,,,,0.0,24046.2263769373,,,
ABW,YR2007,0.189999997615814,,,,,,,,,,,0.0,25834.1117784233,,,
ABW,YR2008,0.193499997258186,,,,,,,,,,,0.0,27083.6348596914,,,
ABW,YR2009,0.299800008535385,,,,,,,,,,,0.0,24631.1820522439,,,
ABW,YR2010,5.46470022201538,,,,,,,,,,,0.0,23513.527696809,,,
ABW,YR2011,5.66179990768433,,,,,,,,,,,0.0,24985.0139185797,,,
ABW,YR2012,6.85589981079102,,,,,,,,,,,0.0,24712.4932628907,,,
ABW,YR2013,6.88969993591309,,,,,,,,,,,0.0,26441.6199357378,,,
ABW,YR2014,6.92749977111816,,,,,,,,,,,0.0,26893.0115056581,,,
ABW,YR2015,6.72800016403198,,,,,,,,,,,0.0,28396.9084228616,,,
ABW,YR2016,6.99459981918335,,,,,,,,,,,0.0,28452.1706146796,,,
ABW,YR2017,6.69929981231689,,,,,,,,,,,0.0,29350.8050189137,,,
ABW,YR2018,8.0241003036499,,,,,,,,,,,,30253.2793580195,,,
AFE,YR1970,,,,1.12326124330665,1587419.45344631,,384746.71821,316355.144832,,,,,236.793424648275,,,
AFE,YR1971,,47.1159929336236,1.92760074258926,1.21959304813598,962644.869126585,,265076.70912,204036.14069,,,,0.0,254.006969067464,,,
AFE,YR1972,,46.8918142274368,1.92353265886521,1.20926277940778,1013296.70439233,,278192.08724,215244.876348,,,,0.0,268.131326739248,,,
AFE,YR1973,,47.9771818996531,1.89435722813473,1.20452254201237,1074440.17062159,,296153.8053,230103.820342,,,,0.0,339.759795964428,,,
AFE,YR1974,,47.8974515396464,1.86992531376713,1.18604520925868,949134.973397538,,269903.4576,200117.759414,,,,0.0,410.118239816733,,,
AFE,YR1975,,47.8986452512014,1.85902581779334,1.18113936724852,1101878.99010833,,303388.4675,230850.35453,,,,0.0,424.803180517585,,,
AFE,YR1976,,48.4740999185422,1.88092176096947,1.1902033660535,984931.848519299,,286699.8136,212867.189182,,,,0.0,411.513619258493,,,
AFE,YR1977,,48.2752184501426,1.89195734212779,1.18221774296475,1119055.27755404,,319345.1963,242567.149219,,,,0.0,456.254185174561,,,
AFE,YR1978,,48.9280820700088,1.86231826241576,1.16915760255062,1176444.98468709,,327883.6744,245727.406864,,,,0.0,496.090590819875,,,
AFE,YR1979,,48.9301126909661,1.9487456632821,1.21690054858834,1529059.23828526,,396278.3059,308081.455105,,,,0.0,564.002951169701,,,
AFE,YR1980,,49.7375470580984,1.95377428395063,1.23591089608268,1293217.17897345,,359098.5521,275309.96894,,,,0.0016679954342653,688.555399290773,,,
AFE,YR1981,,51.3425794304652,2.04145220730872,1.31976378887613,1138988.14180472,,327764.3155,240382.175909,,,,0.000709994495086502,685.205277946091,,,
AFE,YR1982,,52.5781184109172,2.06995247422147,1.36739655082786,1279080.96627895,,361468.6268,270046.080125,,,,0.000219253433447077,641.783869594962,,,
AFE,YR1983,,52.2637175272934,2.11469444868719,1.38636690084527,1289548.54267022,,359525.6917,264398.067768,,,,0.00103669957697703,643.803760127544,,,
AFE,YR1984,,52.9261423590906,2.1348047244633,1.43196363666722,1032199.44308659,,313396.086,217867.849867,,,,0.00108789313405762,571.447121239101,,,
AFE,YR1985,,52.2015951752987,2.1511218032194,1.42314456862381,1043607.77354635,,317176.2149,215743.085253,,,,0.00131401866107117,495.66462896974,,,
AFE,YR1986,,52.1901785925233,2.1319065592294,1.42077689952666,969010.528102765,,314774.5605,210116.174441,,,,0.00143199160948933,542.428123553241,,,
