,economy,time,Renewable energy consumption,Fossil fuel energy consumption,CO2 intensity,CO2 emissions (metric tons per capita),Other greenhouse gas emissions,HFC gas emissions,Methane emissions,Nitrous oxide emissions,PFC gas emissions,SF6 gas emissions,"Droughts, floods, extreme temperatures",Natural gas rents (% of GDP),GDP per capita (current US$),Mortality rate due to AP,Poverty gap at $3.20 a day,Multidimensional poverty headcount ratio
79,AFE,YR2000,65.1324446480537,46.9472517429038,1.49329174606832,0.900399149757883,-20582.6629631686,,377850.0,211260.0,,,,0.020776813393287,713.245921054769,,,
80,AFE,YR2001,65.568144849022,47.4357459507557,1.60575973545555,0.971980786600712,29919.7396550828,,382600.0,210450.0,,,,0.0355702172353299,633.608788994641,,,
81,AFE,YR2002,64.5788543097796,46.1952181233608,1.64391666460682,0.975749134955925,27150.5174729043,,405520.0,224400.0,,,,0.0344170184367332,631.870339558401,,,
82,AFE,YR2003,64.1031447814253,47.2717785407109,1.67181413288619,1.00996289646531,22082.3336554837,,417940.0,229140.0,,,,0.0203106474829898,819.743981457504,,,
83,AFE,YR2004,63.2161804471189,48.8620583293628,1.70693439599338,1.05718153490629,28499.0364940208,,426540.0,231320.0,,,,0.0382007677549316,993.762711096436,,,
84,AFE,YR2005,62.5005964549218,48.6069666946122,1.68758596128245,1.03299842832055,16324.459548341,,443630.0,239810.0,,,,0.050934928450025,1129.80871033245,,,
85,AFE,YR2006,62.2014196406444,48.2443932141172,1.68636533626727,1.02364555057226,15362.0271865069,,444700.0,233690.0,,,,0.0656105686646169,1237.11180175654,,,
86,AFE,YR2007,61.4185085142526,49.5511715569521,1.6935843149162,1.04596778455517,18215.2630981952,,472630.0,249430.0,,,,0.0664990917518222,1382.86903874723,,,
87,AFE,YR2008,61.8989052783575,50.8885624008154,1.71066567310991,1.08644884945052,24455.6242228478,,491160.0,257080.0,,,,0.0745806604306236,1442.16815788071,,,
88,AFE,YR2009,61.2525540915309,49.8828729702859,1.63806735205079,1.02195356572593,27924.6169166813,,496350.0,256110.0,,,,0.0655435284858489,1412.11128439583,,,
89,AFE,YR2010,62.5645286167873,49.0353285938329,1.70646871325305,1.04887555573041,42800.2707878595,,515480.0,267280.0,,,,0.0768588739143782,1634.44825309864,,,
90,AFE,YR2011,62.2938415552246,48.303862388358,1.64604578940594,1.0053381095461,48331.319894363,,523850.0,272840.0,,,,0.1187437225714,1770.73623014017,,,
91,AFE,YR2012,61.1095543464239,47.5724129880436,1.68557943256546,1.02164632918829,72440.6335418639,,534240.0,275740.0,,,,0.125880460315105,1736.16655986305,,,
92,AFE,YR2013,60.4688380088513,46.8951802323023,1.70786904693025,1.03183309057281,70001.9866557046,,538060.0,274830.0,,,,0.121777241896461,1713.89929866184,,,
93,AFE,YR2014,60.8039336588303,49.304292087898,1.75083161155932,1.0411447920002,73024.711698547,,543720.0,276360.0,,,,0.114926297482463,1703.59629838885,,,
94,AFE,YR2015,61.0972640976963,,,0.987393167382925,68559.00421381,,554570.0,279960.0,,,,0.0799763451273045,1549.03794037642,,,
95,AFE,YR2016,,,,0.971016455310255,73149.4315073118,,563050.0,284380.0,,,,0.0525784228124518,1431.7787234042,137.502261930037,,
96,AFE,YR2017,,,,0.959978016817397,,,564380.0,286140.0,,,,0.0763198310221808,1573.06338581001,,,
97,AFE,YR2018,,,,0.933541201136227,,,570040.0,286710.0,,,,0.172713883611917,1574.97864775317,,,
131,AFG,YR2002,43.7711982727051,,,0.0486708995010525,-1189.82818984985,,11190.0,3700.0,,,,0.0321245558043524,179.426579211394,,,
